CALL_CENTER_ID,ESCALATED,DAILY_CALLS,MONTHLY_CALLS,CALL_TARGET,REASON,MONTHS_CUSTOMER,NEGATIVE_RATING,DAYS_PROD_OUT_OF_SERVICE,PRODUCT_AGE,CALL_INQUIRIES,NUM_CALLERS,CALL_TIME,PRODUCT_TYPE,FEEDBACK,Sentiment
215458,0,214,909,1217,ProdFailure,3,0,0,221.515426,2,26,34.88554143,Server,So there is no way for me to plug it in here in the US unless I go by a converter.,0
954367,0,214,445,809,,,,,,,,37.82721876,,"Good case, Excellent value.",1
559293,0,214,494,694,ProdFailure,25,0,0,314.6389579,2,32,35.98208365,Other,Great for the jawbone.,1
289495,0,214,643,993,ProdGlitch,18,0,0,627.7023895,1,23,20.68871482,Laptop,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
123218,0,214,922,1337,ProdFailure,11,0,0,81.44638031,3,15,41.39546183,Other,The mic is great.,1
232875,0,214,72,247,ProdFailure,,0,0,62.26356587,2,18,41.57670052,Other,I have to jiggle the plug to get it to line up right to get decent volume.,0
387415,0,214,416,1034,ProdGlitch,6,0,0,122.1533442,0,15,31.61467953,Other,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
536701,0,214,701,948,ProdFailure,4,0,0,109.780321,1,29,35.63050485,Other,If you are Razr owner...you must have this!,1
502935,0,214,1431,1850,ProdGlitch,7,0,0,314.9842869,0,17,43.10300163,Desktop,"Needless to say, I wasted my money.",0
425451,0,214,1280,1678,ProdFailure,6,0,0,180.4173542,0,38,17.49570049,Laptop,What a waste of money and time!.,0
435974,1,214,951,1323,ProdFailure,7,1,5,206.1276648,1,18,36.23566539,Software,And the sound quality is great.,1
802190,0,215,1007,1469,ProdGlitch,11,0,0,153.2238882,1,23,34.96596275,Laptop,He was very impressed when going from the original battery to the extended battery.,1
246739,1,215,840,1157,ProdFailure,10,,1,122.2897915,1,30,49.37972914,Laptop,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0
792710,0,215,95,308,ProdFailure,,0,0,58.11746362,2,19,42.49201034,Other,Very good quality though,1
687900,0,215,1077,1605,ProdFailure,16,0,0,195.48568,0,25,32.37876814,Desktop,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0
17809,0,215,1107,1780,ProdFailure,6,0,0,212.6040797,4,24,43.3108563,Software,Highly recommend for any one who has a blue tooth phone.,1
495017,0,215,1416,1842,ProdGlitch,8,0,0,311.4261279,0,16,44.59015523,Desktop,I advise EVERYONE DO NOT BE FOOLED!,0
502153,0,215,259,473,ProdFailure,1,,,305.8497165,,25,36.60061306,Other,So Far So Good!.,1
105784,0,215,1293,2847,ProdGlitch,3,0,0,199.2195955,0,15,30.40625943,Desktop,Works great!.,1
605738,0,215,1358,1869,ProdFailure,18,0,0,227.3474864,1,24,42.66067749,Laptop,It clicks into place in a way that makes you wonder how long that mechanism would last.,0
36009,0,215,969,1432,ProdFailure,20,0,0,173.3416649,0,25,39.85872689,Laptop,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
